actual_views,predicted_views
270921,187367.55939924938
246530,281914.3680654277
251608,283555.9994331593
237416,257533.69700216234
4488,-35101.41344090602
4088,8485.176102868514
3826,-34071.34404820639
3523,-25043.5061154188
101018,103084.87002815504
95871,2614.7364216914575
98918,95688.14402936687
94113,148315.97385610634
1432,29556.79309365299
1316,-28722.694681300258
1300,-104178.98864649766
1202,-26019.52315586248
5246616,5031947.963024683
5237005,5072971.193272255
5037670,4977189.341824757
4589439,4708358.830799641
591050,518737.6266728452
552216,494255.09148050216
549893,624951.156508473
556914,519699.3166996265
17402,4569.13313357305
16531,24007.510433553165
15177,-13795.206421907613
15214,-36194.252940775434
2384612,2412939.4815381193
2417080,2401765.84812878
2458943,2331394.359835164
2390057,2334075.8271691673
4307548,4414478.244214714
3926440,4084331.217094025
4031597,4015158.700766942
3781767,3763930.3229259625
6711630,6842871.610316638
6586076,6531982.679739397
6141828,6266335.203858875
6382835,6418057.150859522
186919,235401.18120421865
181325,189597.45515005157
175983,188218.9857113224
181605,252069.06807544222
194,-22213.37159855607
195,22735.424151167826
184,3678.4798964450893
184,-67980.61120469465
